source,target,weight,resources,references,sign_decision
ESR2,FBLN1,1.0,ExTRI,11850827;15528301,default activation
PPARG,CCL5,-1.0,ExTRI;GEREDB;NTNU.Curated,11932328;12909507;20663893,PMID
IRF4,IL4,1.0,CytReg;ExTRI;GEREDB;IntAct;Pavlidis2021;SIGNOR,11956291;12374808;19592658;21890374;21957289;26278622,PMID
MAF,IL4,1.0,CytReg;ExTRI;Pavlidis2021;TRRUST,11956291;14688382;15495158;15728480;15832295;16498264;17057718;17507085;18167455;19348920;19553542;22798672;24821970;25037220;26278622;8674125;9442389;9686601;9815263;9889198,PMID
GATA3,IFNG,1.0,CytReg;DoRothEA-A;ExTRI;HTRI;TRRUST,11970994;15251440;16520391;17717199;19648923;20193034;20399120;20636338;21507199;21632975;23232398;8228802,PMID
MAF,IFNG,1.0,ExTRI,11970994,default activation
PPARG,MYC,-1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,11973610;16405739;17462534;19075513,PMID
JUN,CIITA,1.0,ExTRI,11981818,default activation
EBF1,VPREB1,1.0,ExTRI,11994467;9252117,default activation
IRF4,IL15,1.0,ExTRI,12023365,default activation
GATA3,IL7R,1.0,ExTRI,12027437,default activation
LEF1,EDA,1.0,ExTRI;NTNU.Curated;TRRUST,12039047,PMID
PRDM1,PAX5,-1.0,ExTRI;SIGNOR,12052884,PMID
PAX5,PRDM1,-1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,17682124;22593617,PMID
MYC,TNF,1.0,ExTRI,12080469;15466196,default activation
MITF,BCL2,1.0,DoRothEA-A;ExTRI;GEREDB;SIGNOR;TFactS,12086670;19067971;19192212;1999537,PMID
KLF4,ID3,-1.0,ExTRI;GEREDB;NTNU.Curated,12087069;19618124,PMID
KLF4,KLF4,1.0,ExTRI;NTNU.Curated,12087155;22337869;22854048,PMID
KLF5,KLF4,-1.0,ExTRI;GEREDB;NTNU.Curated,12087155,PMID
MYC,PAX3,1.0,ExTRI;GEREDB;NTNU.Curated,12095979,PMID
EPAS1,ADM,1.0,ExTRI;GEREDB,12099714;18508787,PMID
JUN,NCAM1,1.0,ExTRI;GEREDB;NTNU.Curated,12101231,PMID
KLF5,PLAT,1.0,ExTRI,12113473,default activation
PRDM1,PRDM1,1.0,ExTRI,12165517;17046816;17682124;18535625;18583325;18725523;19776388;19828640;20064451;20176957;24637363;9110979,default activation
ESR1,ABCB1,1.0,ExTRI,12174911,default activation
ESR2,ABCB1,1.0,ExTRI,12174911,default activation
MYC,CD40,1.0,ExTRI,12211441,default activation
PPARG,IL6,-1.0,ExTRI;GEREDB;NTNU.Curated,12215492;15526907;16155367;16794398;17906687;18762411;18927280;18973594;19067726;19289654;19395102;20376096;20473515,PMID
ESR1,TNF,1.0,CytReg;ExTRI,12237295;15334655;16483936;20664923;23733894,PMID
IRF4,CCNB1,-1.0,ExTRI;NTNU.Curated,12360402,PMID
JUN,SPARC,1.0,ExTRI;GEREDB,11042689;12370830;7988564,default activation
STAT4,PRF1,1.0,ExTRI;GEREDB;SIGNOR;TRRUST,12372421,PMID
